character,romaji,meaning
盛大,seidai,"grand, prosperous, magnificent"
清濁,seidaku,"good and evil, purity and impurity"
制定,seitei,"enactment, establishment, creation"
静的,seiteki,static
製鉄,seitetsu,iron manufacture
晴天,seiten,fine weather
正当,seitou,"just, due, proper"
制服,seifuku,uniform
征服,seifuku,"conquest, subjugation, overcoming"
製法,seihou,"manufacturing method, recipe, formula"
精密,seimitsu,"precise, exact, detailed, minute"
税務署,zeimusho,tax office
制約,seiyaku,"limitation, constraints"
勢力,seiryoku,"influence, power, might, strength"
整列,seiretsu,"stand in a row, form a line"
セール,seeru,sale
急かす,sekasu,"to hurry, to urge on"
伜,segare,"son, my son"
責務,sekimu,"duty, obligation"
セクション,sekushon,section
世辞,seji,"flattery, compliment"
世帯,setai,household
是正,zesei,"correction, revision"
世代,sedai,generation
切開,sekkai,"opening up, cutting through"
セックス,sekkusu,sex
切実,setsujitsu,"compelling, serious, severe, acute"
接触,sesshoku,"touch, contact"
接続詞,setsuzokushi,conjunction
設置,secchi,"establishment, institution"
折衷,secchuu,"compromise, cross, blending, eclecticism"
設定,settei,"establishment, creation"
説得,settoku,persuasion
切ない,setsunai,"painful, trying, sad"
絶版,zeppan,out of print
設立,setsuritsu,"establishment, foundation, institution"
攻め,seme,"attack, offense"
ゼリー,zerii,jelly
セレモニー,seremonii,ceremony
世論,seron,public opinion
先,sen,"priority, precedence, previous"
繊維,seni,"fiber, fiber, textile"
全快,zenkai,complete recovery of health
宣教,senkyou,religious mission
宣言,sengen,"declaration, proclamation, announcement"
戦災,sensai,war damage
専修,senshuu,specialization
戦術,senjutsu,tactics
センス,sensu,"sense (for music, style, tact, etc.)"
潜水,sensui,diving
全盛,zensei,height of prosperity
先代,sendai,"family predecessor, previous age, previous generation"
先だって,sendatte,"recently, the other day"
先着,senchaku,first arrival
前提,zentei,"preamble, premise, prerequisite"
先天的,sententeki,"inherent, congenital, hereditary"
前途,zento,"future prospects, outlook, the journey ahead"
戦闘,sentou,"battle, fight, combat"
潜入,sennyuu,"infiltration, sneaking in"
船舶,sempaku,ship
全滅,zemmetsu,annihilation
専用,senyou,"exclusive use, personal use"
占領,senryou,"occupation, possession, have a room to oneself"
善良,zenryou,"goodness, excellence, virtue"
戦力,senryoku,war potential
前例,zenrei,precedent
相応,souou,"suitability, fitness"
総会,soukai,general meeting
創刊,soukan,"launching (e.g., newspaper, first issue)"
雑木,zouki,"various kinds of small trees, assorted trees"
早急,soukyuu,urgent
早急,sakkyuu,urgent
増強,zoukyou,"reinforce, increase"
送金,soukin,"remittance, sending money"
走行,soukou,"running a wheeled vehicle (e.g., car, traveling)"
総合,sougou,"synthesis, generalization"
捜索,sousaku,"search (esp. for someone or something missing, investigation)"
蔵相,zoushou,Minister of Finance
装飾,soushoku,ornament
増進,zoushin,"promoting, increase, advance"
相対,soutai,relative
壮大,soudai,"magnificent, grand, majestic"
騒動,soudou,"strife, riot, rebellion"
遭難,sounan,"disaster, shipwreck, accident"
相場,souba,"market price, speculation, estimation"
装備,soubi,equipment
創立,souritsu,"establishment, founding"
添える,soeru,"to add to, to attach, to accompany"
ソース,soosu,source
即座に,sokuzani,"immediately, right away"
促進,sokushin,"promotion, acceleration, encouragement"
即する,sokusuru,"to conform to, to agree with, to be adapted to,"
束縛,sokubaku,"restraint, restriction, confinement"
側面,sokumen,"side, sidelight, lateral"
損う,sokonau,"to harm, to hurt"
そこら,sokora,"everywhere, somewhere"
素材,sozai,"raw materials, subject matter"
阻止,soshi,"obstruction, check, hindrance"
訴訟,soshou,"litigation, lawsuit"
育ち,sodachi,"breeding, growth"
措置,sochi,"measure, step"
ソックス,sokkusu,socks
素っ気無い,sokkenai,"cold, short, curt, blunt"
外方,soppo,look (or turn) the other way
備え付ける,sonaetsukeru,"to provide, to equip, to install"
備わる,sonawaru,to be furnished with
具わる,sonawaru,to be furnished with
聳える,sobieru,"to rise, to tower, to soar"
素朴,soboku,"simplicity, artlessness, naivety"
背く,somuku,"to run counter to, to go against"
染まる,somaru,to be dyed
染める,someru,"to dye, to color"
そらす,sorasu,"to bend, to warp"
そり (~にのる),sori (~ninoru),"sleigh, sled"
反る,soru,"to warp, to be warped, to curve"
それゆえ,soreyue,"therefore, for that reason, so"
ソロ,soro,solo
揃い,soroi,"set, suit, uniform"
ぞんざい,zonzai,"rude, careless, slovenly"
損失,sonshitsu,loss
存続,sonzoku,"duration, continuance"
ダース,daasu,dozen
対応,taiou,dealing with
大家,taika,"rich family, distinguished family"
退化,taika,"degeneration, retrogression"
大概,taigai,"in general, mainly"
体格,taikaku,"physique, constitution"
大金,taikin,large amount of money
待遇,taiguu,"treatment, reception"
対決,taiketsu,"confrontation, showdown"
体験,taiken,personal experience
対抗,taikou,"opposition, antagonism"
退治,taiji,extermination
大衆,taishuu,general public
対処,taisho,"deal with, cope"
退職,taishoku,retirement (from office)
題する,daisuru,to title
態勢,taisei,"attitude, conditions, tendency"
対談,taidan,"talk, dialogue"
大胆,daitan,"bold, daring, audacious"
対等,taitou,equivalent
台無し,dainashi,"mess, spoiled, (come to) nothing"
滞納,tainou,"non-payment, default"
対比,taihi,"contrast, comparison"
タイピスト,taipisuto,typist
大部,taibu,"most (e.g., most part, greater, fairly, a good deal, much)"
大便,daiben,feces
代弁,daiben,speak for another
待望,taibou,"long-expected, waiting"
台本,daihon,"libretto, scenario"
タイマー,taimaa,timer
怠慢,taiman,"negligence, carelessness"
タイミング,taimingu,timing
タイム,taimu,time
タイムリー,taimurii,"timely, run-batted-in (baseball), RBI"
対面,taimen,"interview, meeting"
代用,daiyou,substitution
体力,tairyoku,physical strength
タイル,tairu,tile
対話,taiwa,"conversation, dialogue"
耐える,taeru,"to endure, to put up with"
堪える,taeru,"to endure, to put up with"
絶える,taeru,"to die out, to become extinct"
断える,taeru,"to cease, to become extinct"
打開,dakai,"solution, breakthrough"
焚火,takibi,(open) fire
妥協,dakyou,"compromise, giving in"
たくましい,takumashii,"burly, strong, sturdy"
巧み,takumi,"skill, cleverness"
丈,take,"length, height"
打撃,dageki,"blow, damage; batting (baseball)"
妥結,daketsu,agreement
駄作,dasaku,poor work
足し算,tashizan,addition
多数決,tasuuketsu,majority rule
助け,tasuke,assistance
携わる,tazusawaru,"to engage, to involve"
漂う,tadayou,"to drift about, to float, to hang in air"
立ち去る,tachisaru,"to leave, to depart"
立ち寄る,tachiyoru,"to stop by, to drop in for a short visit"
抱っこ,dakko,(child's) hug
達者,tassha,"skillful, in good health"
脱出,dasshutsu,escape
脱する,dassuru,"to escape from, to get out"
達成,tassei,achievement
脱退,dattai,"secession, withdrawal"
だったら,dattara,if it's the case
立て替える,tatekaeru,"to pay in advance, to pay for another"
建前,tatemae,position; stance one takes in public; principle
奉る,tatematsuru,"to offer, to do respectfully"
だと,dato,if it's the case
他動詞,tadoushi,transitive verb (direct object)
辿り着く,tadoritsuku,"to reach, to make it somehow"
辿る,tadoru,"to follow (road, to pursue (course), to follow up"
束ねる,tabaneru,"to tie up in a bundle, to control"
だぶだぶ,dabudabu,"loose, baggy"
他方,tahou,"another side, on the other hand"
多忙,tabou,busy
給う,tamau,"to receive, to grant"
魂,tamashii,"soul, spirit"
溜まり,tamari,"collected things, gathering place, arrears"
賜る,tamawaru,"to grant, to bestow"
保つ,tamotsu,"to keep, to preserve, to sustain"
たやすい,tayasui,"easy, simple, light"
多様,tayou,"diversity, variety"
だるい,darui,"sluggish, feel heavy (tired), languid"
弛み,tarumi,"slack, slackening"
弛む,tarumu,"to slacken, to loosen, to relax"
垂れる,tareru,"to hang, to droop; to drip"
タレント,tarento,"talent, star, personality"
タワー,tawaa,tower
単一,tanitsu,"single, simple, sole"
短歌,tanka,31-syllable Japanese poem
担架,tanka,"stretcher, litter"
短気,tanki,quick temper
団結,danketsu,"unity, union, solidarity"
探検,tanken,"exploration, expedition"
断言,dangen,"assertion, declaration, affirmation"
短縮,tanshuku,"shortening, abbreviation, reduction"
断然,danzen,"firmly, absolutely, definitely"
炭素,tanso,carbon (C)
短大,tandai,junior college
単調,tanchou,"monotony, monotone, dullness"
単独,tandoku,"sole, single"
旦那,danna,"master (of house), husband (informal)"
短波,tampa,short wave
蛋白質,tampakushitsu,protein
ダンプ,dampu,dump truck
断面,dammen,cross section
弾力,danryoku,"elasticity, flexibility"
治安,chian,"public order, security"
チームワーク,chiimuwaaku,teamwork
チェンジ,chienji,change
違える,chigaeru,to change
畜産,chikusan,animal husbandry
畜生,chikushou,"beast, brute, damn"
蓄積,chikuseki,"accumulation, accumulate, store"
地形,chikei,"landform, geographical features, topography"
知性,chisei,intelligence
乳,chichi,"milk, breast, loop"
縮まる,chijimaru,"to be shortened, to be contracted, to shrink"
秩序,chitsujo,"order, regularity"
窒息,chissoku,suffocation
知的,chiteki,intellectual
着手,chakushu,"embarkation, launch"
着色,chakushoku,"coloring, coloring"
着席,chakuseki,"sit down, seat"
着目,chakumoku,attention
着陸,chakuriku,"landing, touch down"
着工,chakkou,start of (construction) work
茶の間,chanoma,living room (Japanese style)
茶の湯,chanoyu,tea ceremony
ちやほや,chiyahoya,"pamper, make a fuss of, spoil"
チャンネル,channeru,a channel
宙返り,chuugaeri,"somersault, looping-the-loop"
中継,chuukei,"relay, hook-up"
忠告,chuukoku,"advice, warning"
中傷,chuushou,"slander, libel, defamation"
中枢,chuusuu,"center, mainstay, nucleus"
抽選,chuusen,"lottery, raffle, drawing (of lots)"
中断,chuudan,"interruption, suspension, break"
中毒,chuudoku,poisoning
中腹,chuufuku,"mountain side, halfway up"
中立,chuuritsu,neutrality
中和,chuuwa,"neutralize, counteract"
~著,~cho,written by ~
腸,chou,"bowels, intestines"
蝶,chou,butterfly
超,chou,"super-, ultra-, hyper-"
調印,chouin,"signature, sign, sealing"
聴覚,choukaku,the sense of hearing
長官,choukan,"chief, (government) secretary"
聴講,choukou,"lecture attendance, auditing"
徴収,choushuu,"collection, levy"
聴診器,choushinki,stethoscope
調停,choutei,"arbitration, conciliation, mediation"
重複,choufuku,"duplication, repetition, overlapping, redundancy, restoration"
長編,chouhen,"long (e.g., novel, film)"
重宝,chouhou,"convenient, useful"
調理,chouri,cooking
調和,chouwa,harmony
ちょくちょく,chokuchoku,"often, frequently, now and then, occasionally"
直面,chokumen,confrontation
著書,chosho,"literary work, book"
貯蓄,chochiku,savings
直感,chokkan,"intuition, instinct"
著名,chomei,"well-known, noted, celebrated"
ちらっと,chiratto,"at a glance, by accident"
塵,chiri,"dust, dirt"
塵取り,chiritori,dustpan
賃金,chingin,wages
沈殿,chinden,"precipitation, deposition, settlement"
沈没,chimbotsu,"sinking, foundering"
沈黙,chimmoku,"silence, reticence"
陳列,chinretsu,"exhibition, display, show"
追及,tsuikyuu,"investigation, inquiry"
追跡,tsuiseki,pursuit
追放,tsuihou,"exile, banishment"
費やす,tsuiyasu,"to spend, to devote, to waste"
墜落,tsuiraku,"falling, crashing"
痛感,tsuukan,"feeling keenly, fully realizing"
通常,tsuujou,"common, normal, usual"
痛切,tsuusetsu,"keen, deep"
杖,tsue,cane
使い道,tsukaimichi,use
仕える,tsukaeru,"to serve, to work for"
司る,tsukasadoru,"to rule, to govern, to administer"
つかの間,tsukanoma,"moment, brief time,"
月並,tsukinami,"conventional, trite, common"
継目,tsugime,"joint, seam"
尽きる,tsukiru,"to be used up, to be run out"
尽くす,tsukusu,"to exhaust, to run out; to devote, to serve"
つくづく,tsukuzuku,"completely, really"
作り,tsukuri,"make up, structure, physique"
造り,tsukuri,"make up, structure, physique"
繕う,tsukurou,"to mend, to repair"
付け加える,tsukekuwaeru,to add one thing to another
告げる,tsugeru,to inform
つじつま (はなしの~),tsujitsuma (hanashino~),"coherence, consistency"
筒,tsutsu,"pipe, tube"
突く,tsutsuku,"to thrust, to strike, to attack; to poke, to nudge, to pick at"
突っ突く,tsuttsuku,to prompt someone
謹む,tsutsushimu,"to be careful, to be chaste or discreet"
突っ張る,tsupparu,"to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on"
務まる,tsutomaru,"be equal, be fit"
勤め先,tsutomesaki,place of work
努めて,tsutomete,"make an effort!, work hard!"
津波,tsunami,"tsunami, tidal wave"
つねる,tsuneru,to pinch
角,tsuno,horn
募る,tsunoru,"to invite, to solicit help, participation, etc"
唾,tsuba,"saliva, spit, sputum"
呟く,tsubuyaku,"to mutter, to murmur"
つぶら,tsubura,"round, rotund"
つぶる (めを~),tsuburu (meo~),to close the eyes
壷,tsubo,"jar, pot, vase"
蕾,tsubomi,"bud, flower bud"
連なる,tsuranaru,"to extend, to stretch out, to stand in a row"
貫く,tsuranuku,to go through
連ねる,tsuraneru,"to link, to join, to put together"
釣り鐘,tsurigane,temple bell (for striking)
吊り革,tsurikawa,strap
手当,teate,"allowance, compensation; treatment"
定義,teigi,definition
提供,teikyou,"offer, program sponsoring"
提携,teikei,"cooperation, tie-up, joint business"
体裁,teisai,"decency, style, form, appearance"
提示,teiji,"presentation, exhibit, suggest, citation"
ティシュペーパー,teishupeepaa,tissue
定食,teishoku,"fixed-price lunch, set meal, dinner"
訂正,teisei,"correction, revision"
停滞,teitai,"stagnation, tie-up, congestion, retention"
邸宅,teitaku,"mansion, residence"
定年,teinen,retirement age
堤防,teibou,"bank, weir"
手遅れ,teokure,being (too); belated treatment
でかい,dekai,huge
手掛かり,tegakari,"hint, clue, key"
手掛ける,tegakeru,"to handle, to manage, to work with"
手数,tekazu,"trouble, labor, handling"
手軽,tegaru,"easy, simple, cheap"
適応,tekiou,"adaptation, accommodation, conformity"
適宜,tekigi,suitability
適性,tekisei,aptitude
できもの,dekimono,"boil, rash"
手際,tegiwa,"performance, skill, tact"
出くわす,dekuwasu,"to happen to meet, to come across"
手順,tejun,"process, procedure, protocol"
手錠,tejou,"handcuffs, manacles"
手数,tesuu,"trouble, labor, handling"
デコレーション,dekoreeshon,decoration
手近,tejika,"near, handy, familiar"
てっきり,tekkiri,"surely, certainly, beyond doubt"
鉄鋼,tekkou,iron and steel
デッサン,dessan,rough sketch (FRE: dessin)
徹する,tessuru,"to devote oneself, to believe in"
てっぺん,teppen,"top, summit, apex"
鉄棒,tetsubou,"iron rod, crowbar, horizontal bar (gymnastics)"
出直し,denaoshi,"adjustment, touch up"
掌,tenohira,the palm
手配,tehai,"arrangement, search (by police)"
手筈,tehazu,"arrangement, plan, program"
手引,tebiki,"guidance, guide, introduction"
手本,tehon,"model, pattern"
手回し,temawashi,"preparations, arrangements"
手元,temoto,"(money) on hand or at home, one's purse; usual skill"
デモンストレーション,demonsutoreeshon,demonstration
照り返す,terikaesu,"to reflect, to throw back light"
テレックス,terekkusu,"telex, teletypewriter exchange"
手分け,tewake,division of labor
天,ten,"heaven, sky"
田園,denen,"country, rural districts"
天下,tenka,"the world, whole country"
転回,tenkai,"revolution, rotation"
連休,renkyuu,consecutive holidays
レンジ,renji,"range, stove"
連日,renjitsu,every day
連帯,rentai,solidarity
レンタカー,rentakaa,rented car
連中,renchuu,"colleagues, company, a lot"
レントゲン,rentogen,X-ray (lit: Roentgen)
連邦,rempou,"commonwealth, federation of states"
連盟,remmei,"league, union, alliance"
老衰,rousui,"senility, senile decay"
朗読,roudoku,"reading aloud, recitation"
浪費,rouhi,"waste, extravagance"
労力,rouryoku,"labor, effort, trouble"
ロープウエイ,roopuuei,"ropeway, aerial tram"
ロープ,roopu,rope
ろくな,rokuna,"satisfactory, decent"
露骨,rokotsu,"blunt, outspoken; conspicuous; broad, suggestive"
ロマンチック,romanchikku,romantic
論議,rongi,discussion
論理,ronri,logic
惑星,wakusei,planet
技,waza,"art, technique"
わざわざ,wazawaza,"take the trouble (to do), doing something especially rather than incidentally"
煩わしい,wazurawashii,"burdensome, troublesome, complicated"
渡り鳥,wataridori,"migratory bird, bird of passage"
ワット,watto,watt
詫び,wabi,apology
和文,wabun,"Japanese text, sentence in Japanese"
藁,wara,straw
~割,~wari,~ percent
割当,wariate,"allotment, allocation, quota"
割込む,warikomu,"to cut in, to disturb"
悪者,warumono,"bad fellow, rascal"
我,ware,"me, oneself, self, ego"
捗る,hakadoru,"to make progress, to move right ahead (with the work), to advance"
はかない,hakanai,"short-lived, momentary, ephemeral"
ばかばかしい,bakabakashii,stupid
破棄,haki,"revocation, annulment, breaking (e.g., treaty)"
剥ぐ,hagu,"to tear off, to peel off, to rip off"
迫害,hakugai,persecution
薄弱,hakujaku,"feebleness, weakness, weak"
白状,hakujou,confession
漠然,bakuzen,"obscure, vague, equivocal"
爆弾,bakudan,bomb
爆破,bakuha,"blast, explosion, blow up"
暴露,bakuro,"disclosure, exposure, revelation"
励ます,hagemasu,"to encourage, to cheer, to raise (the voice)"
励む,hagemu,"to be zealous, to make an effort"
剥げる,hageru,"to come off, to be worn off, to fade, to discolor"
化ける,bakeru,"to disguise, to take the form of"
派遣,haken,"dispatch, send"
恥,haji,"shame, embarrassment"
弾く,hajiku,"to play (piano, guitar)"
パジャマ,pajama,pajamas
恥じらう,hajirau,"to feel shy, to be bashful, to blush"
恥じる,hajiru,to feel ashamed
橋渡し,hashiwatashi,"bridge building', mediation"
弾む,hazumu,"to bounce, to be encouraged, to splurge on"
破損,hason,damage
叩く,hataku,"to strike, to clap, to dust, to beat"
裸足,hadashi,barefoot
果たす,hatasu,"to accomplish, to fulfill, to carry out, to achieve"
蜂蜜,hachimitsu,honey
パチンコ,pachinko,pachinko (Japanese pinball)
罰,batsu,"punishment, penalty"
発育,hatsuiku,"(physical) growth, development"
発芽,hatsuga,germination
発掘,hakkutsu,"excavation, exhumation; discovery (e.g., new talent)"
発言,hatsugen,"utterance, speech, proposal"
バッジ,bajji,badge
発生,hassei,"outbreak, spring forth, occurrence"
仕立てる,shitateru,"to tailor, to make, to prepare"
下取り,shitadori,"trade in, part exchange"
下火,shitabi,"burning low, waning, declining"
実,jitsu,"fruit, good result"
実家,jikka,(one's parents') home
失格,shikkaku,"disqualification, elimination, incapacity (legal)"
質疑,shitsugi,question
失脚,shikkyaku,"losing one's standing, being overthrown, falling"
実業家,jitsugyouka,"industrialist, businessman"
シック,shikku,chic
じっくり,jikkuri,"deliberately, carefully"
躾,shitsuke,"discipline, training"
躾ける,shitsukeru,"to discipline, to teach manners"
実践,jissen,"practice, put into practice"
質素,shisso,"simplicity, modesty, frugality"
実態,jittai,"truth, fact"
失調,shicchou,"lack of harmony, imbalance"
嫉妬,shitto,jealousy
実費,jippi,"actual expense, cost price"
指摘,shiteki,"pointing out, identification"
自転,jiten,"rotation, spin"
助動詞,jodoushi,auxiliary verb
淑やか,shitoyaka,graceful
萎びる,shinabiru,"to shrivel, to fade"
シナリオ,shinario,scenario
しなやか,shinayaka,"supple, flexible, elastic"
屎尿,shinyou,human waste
地主,jinushi,landlord
凌ぐ,shinogu,"to outdo, to surpass; to endure"
芝,shiba,lawn
始発,shihatsu,first train
耳鼻科,jibika,otolaryngology
私物,shibutsu,"private property, personal effects"
しぶとい,shibutoi,"tenacious, stubborn"
司法,shihou,administration of justice
始末,shimatsu,disposal; cleaning up afterwards
染みる,shimiru,to soak; pierce
使命,shimei,"mission, errand, message"
地元,jimoto,local
視野,shiya,"field of vision, outlook"
弱,jaku,"delicate, supple"
社交,shakou,social life
ジャズ,jazu,jazz
謝絶,shazetsu,refusal
社宅,shataku,company owned house
若干,jakkan,"some, few, number of"
三味線,shamisen,three-stringed Japanese guitar
斜面,shamen,"slope, slanting surface, bevel"
砂利,jari,"gravel, ballast, pebbles"
洒落る,shareru,"to joke, to play on words; stylish"
ジャンパー,jampaa,"jacket, jumper"
ジャンプ,jampu,jump
ジャンボ,jambo,jumbo
ジャンル,janru,genre
主,shu,"owner, master, god"
種,shu,seed; variety
私有,shiyuu,private ownership
~宗,~shuu,sect
収益,shuueki,"earnings, proceeds, returns"
修学,shuugaku,learning
周期,shuuki,"cycle, period"
衆議院,shuugiin,"Lower House, House of Representatives"
就業,shuugyou,"employment, starting work"
従業員,juugyouin,"employee, worker"
集計,shuukei,"totalization, aggregate"
襲撃,shuugeki,"attack, charge, raid"
収支,shuushi,income and expenditure
終始,shuushi,from beginning to end; consistent(ly)
修士,shuushi,Masters degree program
従事,juuji,"engaging, pursuing, following"
終日,shuujitsu,all day
充実,juujitsu,"fullness, perfection"
収集,shuushuu,"gathering up, collection"
十字路,juujiro,crossroads
執着,shuujaku,"attachment, adhesion, tenacity"
執着,shuuchaku,"attachment, adhesion, tenacity"
柔軟,juunan,flexible
重複,juufuku,"duplication, repetition, overlapping"
収容,shuuyou,accommodation; seating; custody
従来,juurai,"up to now, so far, traditional"
守衛,shuei,"security guard, doorkeeper"
主演,shuen,"starring, playing the leading part"
主観,shukan,"subjectivity, subject, ego"
修行,shugyou,"pursuit of knowledge, training, ascetic practice"
塾,juku,after-school (cram) school
祝賀,shukuga,"celebration, congratulations"
宿命,shukumei,"fate, destiny, predestination"
手芸,shugei,handicrafts
主権,shuken,sovereignty
主催,shusai,"organization, sponsorship, to host"
取材,shuzai,"coverage, collecting data"
趣旨,shushi,"object, meaning"
種々,shuju,variety
主食,shushoku,staple food
主人公,shujinkou,protagonist
主体,shutai,"subject, main constituent"
主題,shudai,"subject, theme, motif"
出演,shutsuen,"leading performer, stage appearance"
出血,shukketsu,bleeding
出現,shutsugen,"appearance, arrival"
出産,shussan,childbirth
出社,shussha,come to work
出生,shusshou,birth
出生,shussei,birth
微量,biryou,"minuscule amount, extremely small quantity"
昼飯,hirumeshi,lunch (mid-day meal)
比例,hirei,proportion
疲労,hirou,"fatigue, weariness"
敏感,binkan,"sensibility, susceptibility, sensitive (to)"
貧困,hinkon,"poverty, lack"
品質,hinshitsu,quality
貧弱,hinjaku,"poor, meager, insubstantial"
品種,hinshu,"breed, type, variety"
ヒント,hinto,hint
頻繁,himpan,frequency
貧乏,bimbou,"poverty, destitute, poor"
ファイト,fuaito,fight
ファイル,fuairu,file; portfolio
ファン,fuan,fan
不意,fui,"sudden, abrupt, unexpected"
フィルタ,fuiruta,filter
封,fuu,seal
封鎖,fuusa,"blockade, freezing (funds)"
風車,fuusha,windmill
風習,fuushuu,custom
風俗,fuuzoku,"manners, customs; sex industry"
ブーツ,buutsu,boots
風土,fuudo,"natural features, climate"
ブーム,buumu,boom
フォーム,fuoomu,foam; form
部下,buka,one's subordinate
不可欠,fukaketsu,"indispensable, essential"
ぶかぶか,bukabuka,"too big, baggy"
不吉,fukitsu,"ominous, sinister, bad luck, ill omen"
不況,fukyou,"recession, depression, slump"
布巾,fukin,dish cloth
複合,fukugou,"composite, complex"
福祉,fukushi,"welfare, well-being"
覆面,fukumen,"mask, veil, disguise"
膨れる,fukureru,"to swell (out), to be inflated, to bulge"
不景気,fukeiki,"business recession, hard times, depression"
耽る,fukeru,"to indulge in, to give oneself up to, to be absorbed in"
老ける,fukeru,to age
富豪,fugou,"wealthy person, millionaire"
布告,fukoku,"edict, ordinance, proclamation"
ブザー,buzaa,buzzer
負債,fusai,"debt, liabilities"
不在,fuzai,absence
ふさわしい,fusawashii,appropriate
不順,fujun,"irregularity, unseasonableness"
負傷,fushou,"injury, wound"
侮辱,bujoku,"insult, contempt, slight"
不審,fushin,"suspicious, doubt, infidelity"
不振,fushin,"dullness, slump, stagnation"
武装,busou,"arms, armament, armed"
札,fuda,"token, label; ticket, card; charm, talisman"
負担,futan,burden; load
不調,fuchou,"bad condition, disorder, slump"
復活,fukkatsu,"revival (e.g., musical), restoration"
物議,butsugi,public discussion (criticism)
復旧,fukkyuu,"restoration, restitution, rehabilitation"
復興,fukkou,"revival, renaissance, reconstruction"
物資,busshi,"goods, materials"
仏像,butsuzou,Buddhist image (statue)
物体,buttai,object
沸騰,futtou,"boiling, seething"
不当,futou,"injustice, impropriety, unfair"
不動産,fudousan,real estate
無難,bunan,"safety, security"
赴任,funin,(proceeding to) new appointment
腐敗,fuhai,"decay, depravity"
不評,fuhyou,"bad reputation, disgrace, unpopularity"
不服,fufuku,"dissatisfaction, discontent, disapproval"
普遍,fuhen,"universality, ubiquity, omnipresence"
踏まえる,fumaeru,"to be based on, to have origin in"
踏み込む,fumikomu,"to step into (someone else's territory, to break into, to raid"
不明,fumei,"unknown, ambiguous"
部門,bumon,"class, group, category, department, field, branch"
扶養,fuyou,"support, maintenance"
ふらふら,furafura,"unsteady on one's feet, totter, dizzy"
ぶらぶら,burabura,"dangle heavily, sway to and fro, stroll idly"
振り返る,furikaeru,"to turn head, to turn around, to look back"
振り出し,furidashi,"outset, starting point, drawing or issuing (draft)"
不良,furyou,"badness, delinquent, failure"
浮力,furyoku,buoyancy
武力,buryoku,"armed might, military power, the sword, force"
ブル,buru,bull
震わせる,furuwaseru,"to be shaking, to be trembling"
無礼,burei,"impolite, rude"
付録,furoku,"appendix, supplement"
フロント,furonto,front
憤慨,fungai,"indignation, resentment"
文化財,bunkazai,"cultural assets, cultural property"
分業,bungyou,"division of labor, specialization, assembly-line production"
文語,bungo,"written language, literary language"
分散,bunsan,"dispersion, decentralization, variance (statistics)"
分子,bunshi,"numerator, molecule"
紛失,funshitsu,losing something
噴出,funshutsu,"spewing, gushing, spouting"
文書,bunsho,"document, writing"
紛争,funsou,"dispute, trouble, strife"
ふんだん,fundan,"plentiful, abundant, lavish"
分担,buntan,"apportionment, sharing"
奮闘,funtou,"hard struggle, strenuous effort"
分配,bumpai,"division, sharing"
分母,bumbo,denominator
粉末,fummatsu,fine powder
分離,bunri,"separation, detachment, segregation"
分裂,bunretsu,"split, division, break up"
ペア,pea,"pair, pear"
兵器,heiki,"arms, weapons, ordinance"
閉口,heikou,shut mouth
閉鎖,heisa,"closing, closure, shutdown"
兵士,heishi,soldier
平常,heijou,"normal, usual"
平方,heihou,"square (e.g., meter, square)"
並列,heiretsu,"arrangement, parallel, abreast"
ベース,beesu,"base, bass"
辟易,hekieki,"wince, shrink back, succumbing to, being frightened"
ぺこぺこ,pekopeko,"fawn, be very hungry"
ベスト,besuto,best; vest
ベストセラー,besutoseraa,best-seller
隔たる,hedataru,to be distant
縁,heri,edge
へりくだる,herikudaru,to deprecate oneself and praise the listener
弁解,benkai,"explanation, justification, excuse"
変革,henkaku,"change, reform(the) Reformation"
返還,henkan,"return, restoration"
便宜,bengi,"convenience, accommodation"
偏見,henken,"prejudice, narrow view"
弁護,bengo,"defense, pleading, advocacy"
返済,hensai,repayment
弁償,benshou,"compensation, reparation, reimbursement"
変遷,hensen,"change, transition, vicissitudes"
返答,hentou,reply
変動,hendou,"change, fluctuation"
弁論,benron,"discussion, debate, argument"
穂,ho,"ear (of plant), head (of plant)"
保育,hoiku,"nursing, nurturing, rearing"
ボイコット,boikotto,boycott
ポイント,pointo,point
法案,houan,bill (law)
防衛,bouei,"defense, protection, self-defense"
防火,bouka,"fire prevention, fire fighting, fire proof"
崩壊,houkai,"collapse, decay (physics), crumbling"
妨害,bougai,"disturbance, obstruction, interference"
法学,hougaku,"law, jurisprudence"
封建,houken,feudalistic
豊作,housaku,"abundant harvest, bumper crop"
方策,housaku,"plan, policy"
奉仕,houshi,"attendance, service"
方式,houshiki,"form, method, system"
放射,housha,"radiation, emission"
放射能,houshanou,radioactivity
報酬,houshuu,"remuneration, recompense, reward"
放出,houshutsu,"release, emit"
報じる,houjiru,"to inform, to report"
報ずる,houzuru,"to inform, to report"
紡績,bouseki,spinning
呆然,bouzen,"dumbfounded, overcome with surprise"
放置,houchi,"leave as is, leave alone, neglect"
膨張,bouchou,"expansion, swelling, increase"
法廷,houtei,courtroom
報道,houdou,"coverage, report"
冒頭,boutou,"beginning, start, outset"
暴動,boudou,"insurrection, riot, uprising"
褒美,houbi,"reward, prize"
暴風,boufuu,"storm, windstorm, gale"
葬る,houmuru,"to bury, to entomb"
放り込む,hourikomu,to throw into
放り出す,houridasu,"to throw out, to give up, to abandon"
暴力,bouryoku,violence
飽和,houwa,saturation
